==8604== NVPROF is profiling process 8604, command: /home/lanchuanxin/torch/bin/python detect.py --weights runs/exp1_yolov5s_bdd/weights/best_yolov5s_bdd.pt --source bdd100k/images/test_nvprof --save-txt
==8604== Profiling application: /home/lanchuanxin/torch/bin/python detect.py --weights runs/exp1_yolov5s_bdd/weights/best_yolov5s_bdd.pt --source bdd100k/images/test_nvprof --save-txt
==8604== Profiling result:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
0.128816,0.574965,106,5.424000,2.432000,6.496000,"void at::native::unrolled_elementwise_kernel<at::native::BUnaryFunctor<float, float, bool, at::native::CompareGTFunctor<float>>, at::detail::Array<char*, int=2>, OffsetCalculator<int=1, unsigned int, bool=0>, OffsetCalculator<int=1, unsigned int, bool=0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, float, float, bool, float, at::native::CompareGTFunctor<float>, at::native::BUnaryFunctor<float, float, bool, at::native::CompareGTFunctor<float>>)"
0.118785,0.530192,67,7.913000,4.992000,10.080000,"void at::native::vectorized_elementwise_kernel<int=4, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::MulFunctor<float>>, at::detail::Array<char*, int=2>>(int, c10::Half, c10::Half)"
0.104275,0.465428,192,2.424000,1.696000,6.272000,"void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char*, int=3>, OffsetCalculator<int=2, unsigned int, bool=0>, OffsetCalculator<int=1, unsigned int, bool=0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, float, float, float, float, at::native::AddFunctor<float>, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>)"
0.101800,0.454382,212,2.143000,1.632000,4.736000,"void at::native::unrolled_elementwise_kernel<at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char*, int=2>, OffsetCalculator<int=1, unsigned int, bool=0>, OffsetCalculator<int=1, unsigned int, bool=0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, float, float, float, float, at::native::MulFunctor<float>, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>)"
0.101371,0.452465,209,2.164000,1.088000,21.824000,"[CUDA memcpy DtoD]"
0.093571,0.417650,107,3.903000,2.752000,4.833000,"void at::cuda::detail::cub::DeviceSelectSweepKernel<at::cuda::detail::cub::DispatchSelectIf<at::cuda::detail::cub::CountingInputIterator<long, long>, at::cuda::detail::cub::TransformInputIterator<bool, at::native::_GLOBAL__N__54_tmpxft_0000d371_00000000_11_Nonzero_compute_75_cpp1_ii_cba1aaa0::NonZeroOp<bool>, bool*, long>, long*, int*, at::cuda::detail::cub::NullType, at::cuda::detail::cub::NullType, int, bool=0>::PtxSelectIfPolicyT, at::cuda::detail::cub::CountingInputIterator<long, long>, at::cuda::detail::cub::TransformInputIterator<bool, at::native::_GLOBAL__N__54_tmpxft_0000d371_00000000_11_Nonzero_compute_75_cpp1_ii_cba1aaa0::NonZeroOp<bool>, bool*, long>, long*, int*, at::cuda::detail::cub::ScanTileState<int, bool=1>, at::cuda::detail::cub::NullType, at::cuda::detail::cub::NullType, int, bool=0>(long, at::cuda::detail::cub::CountingInputIterator<long, long>, bool, bool, at::native::_GLOBAL__N__54_tmpxft_0000d371_00000000_11_Nonzero_compute_75_cpp1_ii_cba1aaa0::NonZeroOp<bool>, bool*, long, at::cuda::detail::cub::TransformInputIterator<bool, at::native::_GLOBAL__N__54_tmpxft_0000d371_00000000_11_Nonzero_compute_75_cpp1_ii_cba1aaa0::NonZeroOp<bool>, bool*, long>, int)"
0.093275,0.416330,36,11.564000,2.016000,24.097000,"void vision::ops::_GLOBAL__N__57_tmpxft_000001f1_00000000_10_nms_kernel_compute_75_cpp1_ii_143ee75b::nms_kernel_impl<float>(int, double, float const *, unsigned __int64*)"
0.086357,0.385450,36,10.706000,10.432000,10.976000,"void at::native::_GLOBAL__N__54_tmpxft_0000d371_00000000_11_Nonzero_compute_75_cpp1_ii_cba1aaa0::write_indices<int>(long*, at::native::_GLOBAL__N__54_tmpxft_0000d371_00000000_11_Nonzero_compute_75_cpp1_ii_cba1aaa0::TensorDims<int>, int, at::native::_GLOBAL__N__54_tmpxft_0000d371_00000000_11_Nonzero_compute_75_cpp1_ii_cba1aaa0::TensorDims)"
0.082306,0.367372,4,91.843000,61.474000,178.278000,"maxwell_sgemm_128x128_nn"
0.079682,0.355659,204,1.743000,1.344000,12.256000,"_ZN2at6native29vectorized_elementwise_kernelILi4EZNS0_80_GLOBAL__N__56_tmpxft_0000d3e6_00000000_11_PowKernel_compute_75_cpp1_ii_cd5e7a9229pow_tensor_scalar_kernel_implIN3c104HalfES5_EEvRNS_18TensorIteratorBaseET0_EUlS5_E_NS_6detail5ArrayIPcLi2EEEEEviS8_T1_"
0.079037,0.352781,204,1.729000,1.376000,2.240000,"void at::native::vectorized_elementwise_kernel<int=4, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::AddFunctor<float>>, at::detail::Array<char*, int=2>>(int, c10::Half, c10::Half)"
0.078606,0.350857,43,8.159000,3.777000,19.840000,"sgemm_32x32x32_NN_vec"
0.066299,0.295922,59,5.015000,2.976000,6.528000,"_ZN2at6native13reduce_kernelILi512ELi1ENS0_8ReduceOpIlNS0_14func_wrapper_tIlZNS0_11sum_functorIlllEclERNS_14TensorIteratorEEUlllE_EEjlLi4EEEEEvT1_"
0.059206,0.264263,67,3.944000,3.456000,4.385000,"void at::cuda::detail::cub::DeviceReduceKernel<at::cuda::detail::cub::DeviceReducePolicy<bool, int, int, at::cuda::detail::cub::Sum>::Policy600, at::cuda::detail::cub::TransformInputIterator<bool, at::native::_GLOBAL__N__54_tmpxft_0000d371_00000000_11_Nonzero_compute_75_cpp1_ii_cba1aaa0::NonZeroOp<bool>, bool*, long>, int*, int, at::cuda::detail::cub::Sum>(int, int, at::cuda::detail::cub::Sum, at::cuda::detail::cub::GridEvenShare<int>, at::cuda::detail::cub::DeviceReducePolicy<bool, int, int, at::cuda::detail::cub::Sum>::Policy600)"
0.059005,0.263368,4,65.842000,39.809000,93.763000,"maxwell_sgemm_128x64_nn"
0.054145,0.241673,174,1.388000,1.152000,1.984000,"void at::native::vectorized_elementwise_kernel<int=4, at::native::BUnaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char*, int=2>>(int, float, float)"
0.048932,0.218407,67,3.259000,3.168000,3.392000,"void at::cuda::detail::cub::DeviceReduceSingleTileKernel<at::cuda::detail::cub::DeviceReducePolicy<bool, int, int, at::cuda::detail::cub::Sum>::Policy600, int*, int*, int, at::cuda::detail::cub::Sum, int>(int, int, at::cuda::detail::cub::Sum, at::cuda::detail::cub::DeviceReducePolicy<bool, int, int, at::cuda::detail::cub::Sum>::Policy600, int*)"
0.047312,0.211177,23,9.181000,8.608000,9.729000,"void at::native::bitonicSortKVInPlace<float, long, int=-2, int=-1, at::native::GTOp<float, bool=1>, unsigned int, int=32>(at::cuda::detail::TensorInfo<float, bool=1>, float, float, float, at::cuda::detail<long, float>, float, float)"
0.041720,0.186216,143,1.302000,0.928000,10.656000,"void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>)"
0.040931,0.182694,92,1.985000,1.696000,3.009000,"_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_84_GLOBAL__N__60_tmpxft_0000da84_00000000_11_TensorCompare_compute_75_cpp1_ii_d0af11f724clamp_scalar_kernel_implERNS_18TensorIteratorBaseERKN3c106ScalarES8_ENKUlvE_clEvENKUlvE6_clEvEUlfE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjLb0EESH_NS0_6memory15LoadWithoutCastENSI_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_"
0.040780,0.182020,36,5.056000,4.928000,5.280000,"void at::cuda::detail::cub::DeviceSelectSweepKernel<at::cuda::detail::cub::DispatchSelectIf<float const *, at::cuda::detail::cub::NullType*, float*, long*, at::cuda::detail::cub::NullType, at::cuda::detail::cub::Equality, int, bool=0>::PtxSelectIfPolicyT, float const *, at::cuda::detail::cub::NullType*, float*, long*, at::cuda::detail::cub::ScanTileState<int, bool=1>, at::cuda::detail::cub::NullType, at::cuda::detail::cub::Equality, int, bool=0>(at::cuda::detail::cub::NullType*, float*, long*, at::cuda::detail::cub::NullType, at::cuda::detail::cub::Equality, int, bool=0, at::cuda::detail::cub::DispatchSelectIf<float const *, at::cuda::detail::cub::NullType*, float*, long*, at::cuda::detail::cub::NullType, at::cuda::detail::cub::Equality, int, bool=0>::PtxSelectIfPolicyT, int)"
0.040278,0.179778,72,2.496000,2.016000,3.136000,"_ZN2at6native24index_elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_21index_put_kernel_implINS0_10OpaqueTypeILi4EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_"
0.039225,0.175078,102,1.716000,1.472000,2.976000,"void at::native::vectorized_elementwise_kernel<int=4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char*, int=3>>(int, float, float)"
0.035397,0.157993,102,1.548000,1.376000,3.040000,"_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_16sqrt_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_"
0.034399,0.153540,51,3.010000,2.336000,6.529000,"void gemv2T_kernel_val<int, int, float, float, float, int=128, int=16, int=2, int=2, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float const , float, float)"
0.034192,0.152615,59,2.586000,1.728000,3.360000,"_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE1_clEvENKUlvE10_clEvEUllE_NS_6detail5ArrayIPcLi2EEE23TrivialOffsetCalculatorILi1EjESC_NS0_6memory12LoadWithCastILi1EEENSD_13StoreWithCastEEEviT_T0_T1_T2_T3_T4_"
0.031173,0.139138,107,1.300000,0.992000,1.504000,"void at::cuda::detail::cub::DeviceCompactInitKernel<at::cuda::detail::cub::ScanTileState<int, bool=1>, int*>(int, int, bool=1)"
0.029789,0.132964,104,1.278000,1.120000,2.049000,"void at::native::vectorized_elementwise_kernel<int=4, at::native::BinaryFunctor<float, float, float, at::native::AddFunctor<float>>, at::detail::Array<char*, int=3>>(int, float, float)"
0.029151,0.130115,10,13.011000,12.736000,13.376000,"void at::native::bitonicSortKVInPlace<float, long, int=-2, int=-1, at::native::GTOp<float, bool=1>, unsigned int, int=128>(at::cuda::detail::TensorInfo<float, bool=1>, float, float, float, at::cuda::detail<long, float>, float, float)"
0.028406,0.126788,1,126.788000,126.788000,126.788000,"void cudnn::detail::explicit_convolve_sgemm<__half, int, int=1024, int=6, int=7, int=3, int=3, int=5, int=0, bool=1>(int, int, int, __half const *, int, __half const , int, cudnn::detail::explicit_convolve_sgemm<__half, int, int=1024, int=6, int=7, int=3, int=3, int=5, int=0, bool=1>*, kernel_conv_params, int, int, float, float, int, __half const *, __half const *)"
0.027581,0.123107,40,3.077000,2.720000,4.096000,"void at::cuda::detail::cub::DeviceReduceSingleTileKernel<at::cuda::detail::cub::DeviceReducePolicy<bool, int, int, at::cuda::detail::cub::Sum>::Policy600, at::cuda::detail::cub::TransformInputIterator<bool, at::native::_GLOBAL__N__54_tmpxft_0000d371_00000000_11_Nonzero_compute_75_cpp1_ii_cba1aaa0::NonZeroOp<bool>, bool*, long>, int*, int, at::cuda::detail::cub::Sum, int>(int, int, at::cuda::detail::cub::Sum, at::cuda::detail::cub::DeviceReducePolicy<bool, int, int, at::cuda::detail::cub::Sum>::Policy600, bool)"
0.024069,0.107429,46,2.335000,1.728000,3.105000,"void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<float, float, bool, at::native::CompareEqFunctor<float>>, at::detail::Array<char*, int=3>, OffsetCalculator<int=2, unsigned int, bool=0>, OffsetCalculator<int=1, unsigned int, bool=0>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, float, float, bool, float, at::native::CompareEqFunctor<float>, at::native::BinaryFunctor<float, float, bool, at::native::CompareEqFunctor<float>>)"
0.024018,0.107203,36,2.977000,2.784000,3.136000,"_ZN2at6native24index_elementwise_kernelILi128ELi4EZNS0_16gpu_index_kernelIZNS0_17index_kernel_implINS0_10OpaqueTypeILi8EEEEEvRNS_14TensorIteratorEN3c108ArrayRefIlEESA_EUlPcSB_lE_EEvS7_SA_SA_RKT_EUliE_EEviT1_"
